Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
33.69401	37.10246	5.6	26.32	11.32	15.63	0.29	0.31	0.014	0.0	0.0	0.0	PNKY_GPS	0.57	0.58
33.66776	40.90451	5.18	23.47	9.52	12.97	0.31	0.35	-0.049	0.0	0.0	0.0	ILGZ_2PS	0.6	0.63
33.64486	41.8054	21.22	24.12	25.22	13.61	0.16	0.19	-0.049	0.0	0.0	0.0	KURE_GPS	0.35	0.39
33.62978	36.18831	7.87	25.46	13.85	14.8	0.36	0.4	0.004	0.0	0.0	0.0	OVAC_GPS	0.67	0.7
33.62856	36.56355	6.32	25.64	12.31	15.13	0.21	0.23	-0.012	0.0	0.0	0.0	SARI_GPS	0.44	0.46
33.62159	39.63064	-0.11	24.9	4.72	14.39	0.2	0.25	-0.061	0.0	0.0	0.0	CAL1_GPS	0.42	0.49
33.59352	37.72483	4.24	29.54	9.8	19.02	0.16	0.18	-0.05	0.0	0.0	0.0	KRPN_GPS	0.35	0.38
33.52693	37.71467	2.83	27.83	8.4	17.29	0.04	0.04	0.017	0.0	0.0	0.0	KAPN_GPS	0.12	0.11
33.46464	36.65123	7.1	24.79	13.08	14.24	0.16	0.18	0.065	0.0	0.0	0.0	KELC_GPS	0.35	0.38
33.42107	41.99898	21.15	24.48	25.1	13.92	0.12	0.14	-0.059	0.0	0.0	0.0	DGYT_GPS	0.28	0.31
33.39477	36.32001	7.13	25.4	13.24	14.83	0.21	0.22	0.009	0.0	0.0	0.0	GLNR_GPS	0.44	0.44
33.3834	40.7436	3.5	23.44	7.94	12.87	0.41	0.52	-0.135	0.0	0.0	0.0	HCHS_GPS	0.74	0.87
33.30667	41.24833	18.35	23.69	22.6	13.1	0.17	0.19	0.002	0.0	0.0	0.0	ARAC_2PS	0.37	0.39
33.28397	41.66508	20.92	24.4	25.02	13.81	0.13	0.16	-0.068	0.0	0.0	0.0	AZDA_GPS	0.3	0.34
33.28395	38.1982	1.15	24.61	6.56	14.01	0.18	0.2	-0.095	0.0	0.0	0.0	OKLV_GPS	0.39	0.41
33.27633	37.90478	2.68	25.64	8.21	15.04	0.47	0.5	-0.069	0.0	0.0	0.0	BSGL_GPS	0.83	0.84
33.22837	37.09142	5.28	24.98	11.12	14.37	0.15	0.17	0.024	0.0	0.0	0.0	OKZY_GPS	0.33	0.36
33.17982	41.4674	19.3	22.02	23.48	11.4	0.37	0.46	-0.109	0.0	0.0	0.0	SELA_2PS	0.69	0.79
33.17143	39.49883	-2.56	25.98	2.38	15.36	0.21	0.24	-0.092	0.0	0.0	0.0	BALA_GPS	0.44	0.47
33.03202	40.83425	4.36	22.72	8.8	12.07	0.22	0.26	0.019	0.0	0.0	0.0	ATKA_GCE	0.45	0.5
