Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
354.6936	35.892	0.11	14.61	15.7	17.5	0.24	0.24	0.001	0.0	0.0	0.0	CEU1_GPS	0.49	0.47
5.9178	34.8509	0.82	10.39	17.84	18.64	0.13	0.14	0.001	0.0	0.0	0.0	CFKZ_GPS	0.3	0.31
354.734	35.173	-2.69	12.9	13.91	16.34	0.42	0.42	0.001	0.0	0.0	0.0	CHEF_GPS	0.76	0.73
351.2	37.236	3.23	15.59	17.69	16.74	0.2	0.15	0.001	0.0	0.0	0.0	CHLB_GPS	0.42	0.33
5.74	36.8257	5.5	9.4	21.03	17.53	0.12	0.11	0.001	0.0	0.0	0.0	CJIJ_GPS	0.28	0.25
5.9482	35.8619	2.56	10.2	18.83	18.45	0.15	0.17	0.001	0.0	0.0	0.0	CJSR_GPS	0.33	0.36
5.5356	36.015	2.82	10.97	18.94	19.03	0.12	0.11	0.001	0.0	0.0	0.0	CKHR_GPS	0.28	0.25
7.1722	37.0793	5.63	8.28	21.08	17.05	0.14	0.13	0.001	0.0	0.0	0.0	CMAR_GPS	0.32	0.29
6.7055	34.8217	0.02	8.76	17.11	17.36	0.44	0.37	0.001	0.0	0.0	0.0	CNAJ_GPS	0.79	0.66
7.5114	34.4748	2.26	7.56	19.67	16.51	0.15	0.14	0.001	0.0	0.0	0.0	CNGR_GPS	0.33	0.31
355.2789	37.9156	4.57	13.56	18.46	16.45	0.16	0.16	0.001	0.0	0.0	0.0	COBA_GPS	0.35	0.34
16.57	38.8567	9.67	5.56	24.84	18.36	0.15	0.14	0.001	0.0	0.0	0.0	COMA_GPS	0.33	0.31
16.557	39.621	10.81	6.81	25.28	19.67	0.22	0.21	0.001	0.0	0.0	0.0	CORC_GPS	0.45	0.42
353.4804	39.9816	5.92	15.08	18.16	17.38	0.11	0.13	0.001	0.0	0.0	0.0	CORI_GPS	0.26	0.29
13.3039	37.8944	5.92	7.78	21.43	19.16	0.1	0.11	0.001	0.0	0.0	0.0	CORL_GPS	0.24	0.25
16.3104	39.2014	8.9	5.38	23.35	17.87	0.34	0.38	0.001	0.0	0.0	0.0	COSE_GPS	0.64	0.68
350.8667	39.3942	5.26	16.0	17.78	17.0	0.17	0.14	-0.0	0.0	0.0	0.0	CRAI_GPS	0.37	0.31
16.5474	39.2784	8.88	5.62	23.9	18.06	0.3	0.33	0.001	0.0	0.0	0.0	CRLM_GPS	0.58	0.61
350.8646	39.407	5.15	16.1	17.78	16.98	0.27	0.17	0.001	0.0	0.0	0.0	CRNH_GPS	0.53	0.36
359.0207	37.6066	5.16	12.9	19.87	18.4	0.44	0.46	0.001	0.0	0.0	0.0	CRT1_GPS	0.79	0.79
358.1314	38.1146	5.44	12.33	19.25	16.48	0.13	0.2	0.001	0.0	0.0	0.0	CRVC_GPS	0.3	0.41
6.4967	36.2713	3.14	9.4	19.14	17.89	0.11	0.11	0.001	0.0	0.0	0.0	CSVB_GPS	0.26	0.25
16.2591	39.3044	8.99	5.55	23.65	18.39	0.11	0.16	0.001	0.0	0.0	0.0	CSZA_GPS	0.26	0.34
4.6514	36.4299	4.56	12.08	20.32	19.74	0.3	0.25	0.001	0.0	0.0	0.0	CTCH_GPS	0.58	0.49
351.4455	37.2066	3.36	16.65	17.84	17.91	0.28	0.17	0.001	0.0	0.0	0.0	CTEL_GPS	0.55	0.36
16.6418	38.9552	9.45	5.47	24.46	18.31	0.18	0.19	0.001	0.0	0.0	0.0	CTN2_GPS	0.39	0.39
15.8156	39.9938	8.8	5.75	22.71	18.22	0.31	0.2	0.001	0.0	0.0	0.0	CUCC_GPS	0.6	0.41
357.91	37.18	4.78	13.43	19.66	17.95	0.2	0.2	0.001	0.0	0.0	0.0	CUCO_GPS	0.42	0.41
16.9863	39.0325	10.33	5.1	25.43	17.82	0.22	0.2	0.001	0.0	0.0	0.0	CUT2_GPS	0.45	0.41
16.5441	38.6619	9.09	4.38	24.37	17.17	0.27	0.29	0.001	0.0	0.0	0.0	DAVO_GPS	0.53	0.55
356.9447	33.9187	-0.32	14.93	16.88	19.02	0.47	0.46	0.001	0.0	0.0	0.0	DEBD_GPS	0.83	0.79
351.4319	37.1252	3.66	15.74	18.21	17.0	0.21	0.14	0.001	0.0	0.0	0.0	DELG_GPS	0.44	0.31
