Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
240.317	48.1315	-55.88	20.9	-12.83	-10.12	0.09	0.1	-0.016	0.0	0.0	0.0	BREW_GPS	0.22	0.24
321.5745	-3.8775	-50.95	35.39	-4.22	13.34	0.24	0.26	0.0	0.0	0.0	0.0	BRFT_GPS	0.49	0.5
295.3037	32.3704	-42.08	41.26	-12.27	9.1	0.32	0.25	0.0	0.0	0.0	0.0	BRMU_GPS	0.61	0.49
355.5034	48.3805	13.21	19.64	16.4	17.24	0.12	0.13	-0.0	0.0	0.0	0.0	BRST_GPS	0.28	0.29
4.3592	50.7978	16.79	13.3	17.68	16.74	0.17	0.14	-0.0	0.0	0.0	0.0	BRUS_GPS	0.37	0.31
26.1257	44.4639	13.29	-3.45	23.23	12.33	0.14	0.22	0.0	0.0	0.0	0.0	BUCU_GPS	0.32	0.44
11.3368	46.499	14.6	8.91	20.93	15.61	0.15	0.16	-0.01	0.0	0.0	0.0	BZRG_GPS	0.33	0.34
7.4733	36.2766	4.32	12.52	19.78	17.19	0.1	0.11	0.0	0.0	0.0	0.0	CABS_GPS	0.24	0.25
6.8499	36.7856	4.21	9.24	19.13	13.52	0.31	0.46	-0.0	0.0	0.0	0.0	CAEH_GPS	0.6	0.79
4.8734	35.5645	1.72	15.5	17.73	18.51	0.23	0.3	0.0	0.0	0.0	0.0	CAEK_GPS	0.47	0.56
8.9728	39.1359	8.64	10.41	21.12	16.14	0.15	0.11	-0.0	0.0	0.0	0.0	CAGL_GPS	0.33	0.25
110.5197	-66.2834	-4.9	-42.97	1.21	-9.31	0.18	0.14	-0.011	0.0	0.0	0.0	CAS1_GPS	0.39	0.31
350.5815	38.6934	4.62	22.78	17.47	17.15	0.14	0.11	-0.0	0.0	0.0	0.0	CASC_GPS	0.32	0.25
7.1911	35.1442	2.68	13.66	19.23	18.14	0.13	0.1	0.0	0.0	0.0	0.0	CBBR_GPS	0.3	0.24
8.4177	35.1825	2.69	12.46	19.27	17.7	0.12	0.12	0.0	0.0	0.0	0.0	CBCK_GPS	0.28	0.27
5.0838	36.7678	5.77	14.54	20.63	17.7	0.24	0.22	0.02	0.0	0.0	0.0	CBEJ_GPS	0.49	0.44
6.5816	37.015	8.04	12.71	22.77	16.95	0.56	0.4	0.01	0.0	0.0	0.0	CCOL_GPS	0.95	0.7
133.8098	-31.8667	3.3	32.7	28.62	59.33	0.2	0.18	-0.0	0.0	0.0	0.0	CEDU_GPS	0.42	0.38
5.9178	34.8509	1.06	14.65	17.81	18.32	0.13	0.14	0.0	0.0	0.0	0.0	CFKZ_GPS	0.3	0.31
9.1183	10.1231	-14.42	11.93	22.76	24.02	0.59	0.51	0.0	0.0	0.0	0.0	CGGN_GPS	0.99	0.85
183.434	-43.9558	-48.09	35.85	-40.27	33.56	0.22	0.2	0.011	0.0	0.0	0.0	CHAT_GPS	0.45	0.41
74.7511	42.9985	0.49	-31.65	27.69	2.45	0.2	0.22	0.0	0.0	0.0	0.0	CHUM_GPS	0.42	0.44
265.9113	58.7591	-42.55	32.12	-17.15	-3.39	0.33	0.51	0.0	0.0	0.0	0.0	CHUR_GPS	0.63	0.85
243.334	31.8707	-87.99	51.89	-41.45	19.97	0.5	0.41	0.01	0.0	0.0	0.0	CIC1_GPS	0.87	0.72
5.74	36.8257	6.12	13.68	20.94	17.26	0.12	0.11	-0.0	0.0	0.0	0.0	CJIJ_GPS	0.28	0.25
5.9482	35.8619	2.99	14.45	18.77	18.15	0.15	0.17	0.01	0.0	0.0	0.0	CJSR_GPS	0.33	0.36
8.2369	36.9467	4.87	9.89	19.74	15.15	0.65	0.4	0.0	0.0	0.0	0.0	CKAL_GPS	1.07	0.7
5.5356	36.015	3.26	15.29	18.87	18.73	0.12	0.11	0.0	0.0	0.0	0.0	CKHR_GPS	0.28	0.25
5.6901	35.2269	2.74	9.77	19.15	13.46	0.14	0.66	0.0	0.0	0.0	0.0	CKTS_GPS	0.32	1.05
7.1722	37.0793	6.35	12.34	21.0	16.82	0.14	0.13	-0.0	0.0	0.0	0.0	CMAR_GPS	0.32	0.29
6.7055	34.8217	0.28	12.89	17.1	17.06	0.44	0.37	0.01	0.0	0.0	0.0	CNAJ_GPS	0.79	0.66
7.5114	34.4748	2.49	11.56	19.7	16.22	0.15	0.14	0.0	0.0	0.0	0.0	CNGR_GPS	0.33	0.31
288.1079	-45.5143	-39.49	43.13	0.04	9.33	0.46	0.45	-0.0	0.0	0.0	0.0	COYQ_GPS	0.82	0.77
33.991	44.4133	12.69	-7.8	24.11	12.54	0.15	0.16	0.0	0.0	0.0	0.0	CRAO_GPS	0.33	0.34
3.3156	42.3188	10.74	13.99	20.23	16.44	0.16	0.2	0.01	0.0	0.0	0.0	CREU_GPS	0.35	0.41
7.644	35.7663	3.05	12.93	19.02	17.82	0.81	0.74	0.0	0.0	0.0	0.0	CRHA_GPS	1.28	1.14
295.4157	17.7569	-27.87	45.06	10.27	12.91	0.35	0.2	0.001	0.0	0.0	0.0	CRO1_GPS	0.66	0.41
6.4967	36.2713	3.67	13.56	19.08	17.62	0.11	0.11	0.0	0.0	0.0	0.0	CSVB_GPS	0.26	0.25
4.6514	36.4299	5.04	16.55	20.21	19.43	0.3	0.25	-0.0	0.0	0.0	0.0	CTCH_GPS	0.58	0.49
127.3745	36.3994	-20.66	-39.38	29.4	-11.04	0.2	0.18	0.0	0.0	0.0	0.0	DAEJ_GPS	0.42	0.38
342.5605	14.7212	-15.43	27.97	19.39	17.86	0.28	0.29	0.01	0.0	0.0	0.0	DAKR_GPS	0.55	0.55
131.1327	-12.8437	-2.84	33.27	35.82	60.4	0.14	0.16	0.001	0.0	0.0	0.0	DARW_GPS	0.32	0.34
77.9726	-68.5773	-26.25	-39.82	-3.04	-4.99	0.15	0.18	-0.009	0.0	0.0	0.0	DAV1_GPS	0.33	0.38
72.3702	-7.2697	1.04	-0.77	47.11	33.62	0.22	0.19	0.0	0.0	0.0	0.0	DGAR_GPS	0.45	0.39
4.595	50.0949	16.55	12.93	15.75	14.98	0.15	0.16	-0.01	0.0	0.0	0.0	DOUR_GPS	0.33	0.34
35.3921	31.5932	-0.2	-0.46	23.04	20.29	0.22	0.2	-0.01	0.0	0.0	0.0	DRAG_GPS	0.45	0.41
240.375	49.3226	-55.68	20.8	-13.19	-10.31	0.14	0.14	-0.004	0.0	0.0	0.0	DRAO_GPS	0.32	0.31
13.7297	51.0298	18.27	6.89	19.21	15.02	0.12	0.16	-0.01	0.0	0.0	0.0	DRES_GPS	0.28	0.34
264.1338	50.2588	-49.16	31.2	-17.69	-4.24	0.12	0.16	-0.007	0.0	0.0	0.0	DUBO_GPS	0.28	0.34
140.0019	-66.6651	15.39	-34.12	8.16	-11.37	0.25	0.44	-0.0	0.0	0.0	0.0	DUM1_GPS	0.5	0.76
1.5613	34.8582	1.5	18.36	18.1	19.29	0.12	0.1	0.0	0.0	0.0	0.0	EADB_GPS	0.28	0.24
1.5438	34.1522	0.86	18.02	18.14	18.93	0.17	0.16	0.0	0.0	0.0	0.0	EASA_GPS	0.37	0.34
1.9357	35.5624	0.78	16.4	16.71	17.57	0.22	0.27	0.0	0.0	0.0	0.0	EBGR_GPS	0.45	0.52
1.5588	36.5213	6.85	18.59	21.91	19.71	1.34	1.28	-0.0	0.0	0.0	0.0	EBNH_GPS	1.91	1.76
0.4924	40.8209	8.93	15.72	19.42	15.73	0.13	0.14	-0.0	0.0	0.0	0.0	EBRE_GPS	0.3	0.31
1.3451	36.1601	2.41	17.74	17.75	18.54	0.11	0.14	-0.0	0.0	0.0	0.0	EECH_GPS	0.26	0.31
0.6636	36.2143	-2.01	19.48	13.34	20.05	0.5	0.69	-0.0	0.0	0.0	0.0	EKMS_GPS	0.87	1.08
2.9505	36.2091	2.8	16.23	18.12	18.04	0.16	0.11	-0.0	0.0	0.0	0.0	EMHD_GPS	0.35	0.25
293.0079	44.9087	-38.25	39.68	-16.26	6.96	0.71	0.57	-0.02	0.0	0.0	0.0	EPRT_GPS	1.15	0.93
0.9757	42.6936	10.33	15.78	19.87	16.64	0.15	0.12	0.01	0.0	0.0	0.0	ESCO_GPS	0.33	0.27
0.8274	34.5512	1.66	18.19	18.53	18.65	0.25	0.2	0.01	0.0	0.0	0.0	ESKN_GPS	0.5	0.41
