Lon	Lat	E.vel	N.vel	E.adj	N.adj	E.sig	N.sig	Corr	U.vel	U.adj	U.sig	Stat	E.sig.scaled	N.sig.scaled
36.758	55.699	-3.08	-52.43	22.52	11.66	0.2	0.2	0.009	0.0	0.0	0.0	ZWE2_GPS	0.43	0.42
28.01	38.962	-13.22	-63.55	1.49	4.35	0.6	0.56	-0.0	0.0	0.0	0.0	AKHI_GPS	1.05	0.96
30.718	37.321	-7.61	-59.78	9.39	7.12	0.13	0.12	-0.001	0.0	0.0	0.0	BCAK_GPS	0.31	0.28
30.049	39.881	-15.01	-58.01	1.57	9.13	0.17	0.2	-0.001	0.0	0.0	0.0	BOZU_GPS	0.38	0.42
27.96	37.629	-10.58	-75.48	3.8	-6.68	0.5	0.52	-0.001	0.0	0.0	0.0	CINC_GPS	0.91	0.91
29.811	36.789	-5.2	-63.59	9.99	4.53	0.19	0.37	-0.0	0.0	0.0	0.0	ELMI_GPS	0.42	0.69
28.994	38.505	-13.4	-62.49	1.95	4.96	0.42	0.44	-0.001	0.0	0.0	0.0	ESME_GPS	0.79	0.79
38.997	37.175	-3.66	-37.42	18.22	25.65	0.26	0.29	-0.002	0.0	0.0	0.0	HRRN_GPS	0.54	0.57
36.146	36.538	-2.14	-41.63	17.81	23.22	0.3	0.22	-0.001	0.0	0.0	0.0	ISKN_GPS	0.6	0.46
43.062	40.581	1.94	-46.7	28.27	13.23	0.1	0.3	-0.001	0.0	0.0	0.0	KARS_GPS	0.25	0.58
32.505	38.022	-10.0	-53.97	7.55	12.54	0.36	0.36	-0.001	0.0	0.0	0.0	KNYA_GPS	0.7	0.68
31.495	39.871	-15.66	-55.92	1.95	10.52	0.3	0.4	-0.001	0.0	0.0	0.0	MIHA_GPS	0.6	0.74
34.593	37.961	-9.36	-48.6	9.87	16.89	0.08	0.08	-0.002	0.0	0.0	0.0	NGDE_GPS	0.21	0.2
30.468	38.534	-12.95	-58.95	3.48	8.04	0.15	0.14	-0.001	0.0	0.0	0.0	SHUT_GPS	0.34	0.32
36.892	39.797	-14.98	-44.28	6.67	20.08	0.1	0.09	-0.002	0.0	0.0	0.0	SVAS_GPS	0.25	0.22
29.135	37.41	-10.21	-67.27	5.4	0.21	0.31	0.2	-0.0	0.0	0.0	0.0	TVAS_GPS	0.62	0.42
31.73	38.802	-13.74	-56.58	3.66	9.92	0.56	0.55	-0.001	0.0	0.0	0.0	YUNA_GPS	1.0	0.95
34.798	39.781	-14.28	-48.94	5.67	16.39	0.09	0.08	-0.002	0.0	0.0	0.0	YZGT_GPS	0.23	0.2
38.425	38.328	-10.25	-40.99	11.67	22.39	0.34	0.36	-0.002	0.0	0.0	0.0	MLTY_GPS	0.67	0.68
28.724	40.989	4.62	-55.95	20.29	11.66	0.55	0.5	-0.01	0.0	0.0	0.0	AVCT_GPS	0.98	0.88
29.118	40.852	5.93	-54.94	21.82	13.37	0.13	0.24	-0.001	0.0	0.0	0.0	BAD1_GPS	0.31	0.49
28.782	40.534	-8.53	-57.54	7.13	10.05	0.13	0.2	-0.001	0.0	0.0	0.0	BOZT_GPS	0.31	0.42
29.372	40.566	-10.96	-56.32	5.08	11.14	0.2	0.2	-0.0	0.0	0.0	0.0	DUM2_GPS	0.43	0.42
27.808	40.393	-8.64	-60.02	6.46	7.92	0.17	0.28	-0.0	0.0	0.0	0.0	ERDT_GPS	0.38	0.55
29.061	41.061	7.09	-54.69	24.56	11.79	0.48	0.45	-0.02	0.0	0.0	0.0	KANT_GPS	0.88	0.81
28.333	40.265	-10.94	-58.45	4.22	9.33	0.12	0.12	-0.001	0.0	0.0	0.0	KART_GPS	0.29	0.28
27.587	40.611	-7.48	-60.83	6.93	7.47	0.16	0.2	-0.001	0.0	0.0	0.0	MADT_GPS	0.36	0.42
27.962	40.967	9.41	-54.29	24.09	14.13	0.53	0.55	-0.001	0.0	0.0	0.0	MER1_GPS	0.95	0.95
29.962	40.846	6.15	-54.85	22.35	12.32	0.28	0.28	-0.0	0.0	0.0	0.0	UCG2_GPS	0.57	0.55
29.131	40.098	-13.56	-58.42	2.17	9.28	0.21	0.29	-0.001	0.0	0.0	0.0	ULUT_GPS	0.45	0.57
11.5901	48.1411	18.66	-54.36	0.0	0.0	0.14	0.12	0.001	0.0	0.0	0.0	0256_GPS	0.33	0.28
12.5657	48.8742	18.0	-54.74	0.0	0.0	0.12	0.11	0.001	0.0	0.0	0.0	0257_GPS	0.29	0.26
11.5061	48.5321	18.74	-54.41	0.0	0.0	0.12	0.12	0.001	0.0	0.0	0.0	0258_GPS	0.29	0.28
10.8934	48.3713	19.01	-54.33	0.0	0.0	0.12	0.17	0.001	0.0	0.0	0.0	0259_GPS	0.29	0.37
13.4433	48.5684	17.56	-54.75	0.0	0.0	0.28	0.27	0.001	0.0	0.0	0.0	0261_GPS	0.57	0.54
12.3502	48.1951	18.14	-54.55	0.0	0.0	0.21	0.22	0.001	0.0	0.0	0.0	0264_GPS	0.45	0.46
12.9327	48.4286	17.87	-54.81	0.0	0.0	0.3	0.3	0.001	0.0	0.0	0.0	0265_GPS	0.6	0.58
12.1612	48.5397	18.3	-54.87	0.0	0.0	0.09	0.22	0.001	0.0	0.0	0.0	0266_GPS	0.23	0.46
10.8909	49.889	18.54	-54.42	0.0	0.0	0.14	0.2	0.001	0.0	0.0	0.0	0267_GPS	0.33	0.42
10.1616	49.737	19.24	-54.53	0.0	0.0	0.08	0.07	0.001	0.0	0.0	0.0	0268_GPS	0.21	0.18
10.4156	47.6023	20.0	-54.04	0.0	0.0	0.3	0.3	0.001	0.0	0.0	0.0	0269_GPS	0.6	0.58
11.5679	47.7611	18.94	-54.7	0.0	0.0	0.29	0.28	0.001	0.0	0.0	0.0	0270_GPS	0.59	0.55
11.1431	47.8382	19.16	-54.03	0.0	0.0	0.21	0.14	0.001	0.0	0.0	0.0	0271_GPS	0.45	0.32
