Lon,Lat,Stat,Num
28.99,38.51,ESME_GPS,4
28.82,38.34,HRDL_GPS,3
31.57,37.9,HUYK_GPS,3
30.55,36.55,KEME_GPS,3
32.51,38.02,KNYA_GPS,8
29.04,38.73,KOCA_GPS,3
30.62,39.26,KRCT_GPS,3
30.18,37.04,KRKU_GPS,3
28.74,38.57,KULA_GPS,3
29.26,36.42,KYBL_GPS,3
30.55,38.5,MHMT_GPS,3
31.49,39.87,MIHA_GPS,5
25.61,35.26,NEAP_GPS,11
29.55,38.15,SLLR_GPS,3
25.36,36.36,SNTR_GPS,10
31.23,38.16,SRKK_GPS,5
32.47,38.24,SRYN_GPS,3
28.58,37.58,THRN_GPS,3
30.11,38.02,TKIN_GPS,5
27.61,38.26,UCTP_GPS,3
29.24,38.42,ULUB_GPS,3
29.13,40.1,ULUT_GPS,6
26.74,38.38,URIS_GPS,3
32.24,39.1,YEME_GPS,3
29.92,36.66,YKCF_GPS,3
31.73,38.8,YUNA_GPS,4
24.913,34.981,AKYR_GPS,10
21.165,38.864,AMFI_GPS,3
19.797,39.712,ANOK_GPS,3
24.096,35.218,ANOP_GPS,8
20.249,39.141,APAX_GPS,3
28.121,36.214,ARHA_GPS,3
23.034,38.755,ARKI_GPS,13
20.987,39.162,ARTB_GPS,7
22.241,39.608,CG02_GPS,3
22.332,39.433,CG03_GPS,3
21.958,39.237,CG06_GPS,3
22.242,39.089,CG08_GPS,3
22.812,39.148,CG09_GPS,3
23.254,39.146,CG10_GPS,3
23.372,38.986,CG17_GPS,6
22.806,38.752,CG21_GPS,5
22.861,38.624,CG24_GPS,3
23.463,38.843,CG27_GPS,6
23.202,38.566,CG28_GPS,5
22.577,38.399,CG32_GPS,3
22.869,38.428,CG33_GPS,3
23.222,38.427,CG34_GPS,5
23.54,38.445,CG35_GPS,5
23.587,38.643,CG36_GPS,3
23.718,38.632,CG37_GPS,3
24.109,38.661,CG38_GPS,3
23.743,38.43,CG41_GPS,6
22.643,38.01,CG44_GPS,4
22.945,38.021,CG47_GPS,3
23.213,38.097,CG49_GPS,5
23.355,38.209,CG50_GPS,5
23.963,38.388,CG52_GPS,3
23.854,38.23,CG53_GPS,4
24.188,38.345,CG55_GPS,4
23.615,38.018,CG58_GPS,2
22.875,37.723,CG63_GPS,3
22.94,37.795,CG64_GPS,5
23.944,37.822,CG66_GPS,3
22.809,38.343,CP00_GPS,3
22.557,38.493,CS00_GPS,4
21.849,38.339,DREP_GPS,1
20.542,38.563,DUKA_GPS,3
22.389,39.912,GDMN_GPS,3
20.342,38.18,GERO_GPS,3
22.273,38.385,IT18_GPS,3
21.269,40.519,KAST_GPS,7
20.808,37.655,KERI_GPS,3
22.384,36.493,KERY_GPS,6
23.015,36.275,KITH_GPS,5
23.114,37.414,KOIL_GPS,3
21.798,38.905,KRPN_GPS,6
22.197,38.607,LEVK_GPS,5
21.846,39.676,LIPO_GPS,4
22.016,38.41,M000_GPS,3
23.386,37.561,MENA_GPS,8
21.705,36.826,METH_GPS,9
23.132,38.02,MKPG_GPS,2
20.128,39.236,PAXI_GPS,3
22.911,37.065,PIGA_GPS,2
23.701,38.145,PRNI_GPS,3
24.244,41.375,SKAL_GPS,3
20.702,37.931,SKIN_GPS,3
22.409,37.098,STRV_GPS,5
22.355,37.525,TR00_GPS,5
21.394,39.634,TRIG_GPS,3
21.899,37.43,VASS_GPS,10
20.589,38.177,VLSM_GPS,9
23.533,35.311,XRSO_GPS,9
25.846,41.884,HAR2_GPS,6
36.324,39.553,AKCK_GPS,3
32.207,37.2,AKPN_GPS,3
32.349,40.018,AYAS_GPS,3
35.542,38.382,AYV1_GPS,3
37.607,38.488,BLBN_GPS,3
31.035,38.693,BLVD_GPS,2
34.811,37.207,CAMA_GPS,4
31.932,37.617,CAVS_GPS,3
33.101,40.246,CBUK_GPS,3
36.479,39.307,CEML_GPS,3
34.408,39.574,CICE_GPS,3
35.498,40.077,CKRK_GPS,3
