Lon,Lat,E.vel,N.vel,E.adj,N.adj,E.sig,N.sig,Corr,U.vel,U.adj,U.sig,Stat,Ref
43.673,34.601,-3.04,18.89,24.07,28.96,0.73,0.74,0.019,0.07,0.07,3.03,ISSD_GPS,khorrami_2019_eura
39.631,21.3692,6.05,15.15,32.77,26.13,0.28,0.21,-0.0,0.03,0.03,1.24,JEDD_GPS,viltres_2022_eura
39.631,21.369,7.2,14.77,33.92,25.75,0.5,0.35,0.0,0.1,0.1,3.0,JEDD_GPS,nocquet_2012_eura
39.631,21.369,7.33,15.34,34.05,26.32,0.47,0.35,0.016,0.71,0.71,3.23,JEDD_GPS,mcclusky_2010_eura
39.631,21.3692,6.41,15.24,0.0,0.0,0.13,0.14,0.001,-0.2,0.0,0.59,JEDD_GPS,serpelloni_2022_eura
39.631,21.369,6.59,15.76,33.31,26.74,1.79,1.78,-0.001,0.84,0.84,3.0,JEDD_GPS,reilinger_2006_eura
42.1036,16.6992,9.03,16.65,35.55,27.08,0.25,0.22,0.002,2.36,2.36,0.85,JIZN_GPS,viltres_2022_eura
42.104,16.699,10.82,14.35,37.34,24.78,1.77,1.4,0.0,0.1,0.1,3.0,JIZN_GPS,nocquet_2012_eura
42.104,16.699,9.36,16.61,35.88,27.04,0.64,0.51,0.0,0.19,0.19,3.0,JIZN_GPS,graham_2021_eura
42.104,16.699,10.94,15.19,37.46,25.62,1.48,1.17,-0.002,3.4,3.4,3.17,JIZN_GPS,mcclusky_2010_eura
42.104,16.699,9.34,16.3,35.86,26.73,0.4,0.4,-0.002,-0.27,-0.27,4.66,JIZN_GPS,viltres_2020_eura
42.1036,16.6992,9.31,16.59,0.0,0.0,0.28,0.3,0.001,0.18,0.0,1.18,JIZN_GPS,serpelloni_2022_eura
43.4358,13.3169,14.13,18.55,40.34,28.68,0.63,0.54,0.002,1.99,1.99,0.69,JNAR_GPS,viltres_2022_eura
43.436,13.317,14.4,18.1,40.61,28.23,0.61,0.55,0.0,0.1,0.1,3.0,JNAR_GPS,nocquet_2012_eura
43.436,13.317,14.36,19.06,40.57,29.19,0.7,0.62,0.006,5.76,5.76,8.26,JNAR_GPS,viltres_2020_eura
43.436,13.317,14.63,18.42,40.84,28.55,0.5,0.45,0.01,0.18,0.18,3.0,JNAR_GPS,graham_2021_eura
43.436,13.317,14.5,19.21,40.71,29.34,0.53,0.49,0.012,5.28,5.28,3.37,JNAR_GPS,mcclusky_2010_eura
47.971,29.325,0.75,20.12,28.33,29.17,0.22,0.21,0.004,-0.21,-0.21,0.62,KUWT_GPS,viltres_2022_eura
47.9715,29.32497,0.61,20.37,28.19,29.42,0.41,0.41,0.002,-2.54,-2.54,1.3,KUWT_GPS,castro_2021_eura
47.9715,29.325,0.98,20.46,0.0,0.0,0.12,0.09,0.001,-1.4,0.0,0.4,KUWT_GPS,serpelloni_2022_eura
47.971,29.325,-0.22,19.47,27.36,28.52,0.85,0.84,-0.0,-0.05,-0.05,3.04,KUWT_GPS,khorrami_2019_eura
47.971,29.325,1.68,20.83,29.26,29.88,0.4,0.34,0.0,0.24,0.24,3.0,KUWT_GPS,graham_2021_eura
47.971,29.325,-0.07,19.3,27.51,28.35,0.85,0.84,0.0,0.07,0.07,3.0,KUWT_GPS,nocquet_2012_eura
47.9715,29.325,1.01,20.46,28.59,29.51,0.11,0.11,-0.003,-1.05,-1.05,3.02,KUWT_GPS,hamiel_2021_eura
